Order_ID,Customer_ID,Category,Payment_Method,Order_Value,Discount_Percent,Est_Delivery_Days,Actual_Delivery_Days,Customer_Rating,Returned,City_Tier,Delivery_Delay,Fulfillment_Status,High_Value_Order,Net_Revenue,Customer_Segmentation
ORD1000,CUST202,Electronics,CREDIT CARD,4176.65,0,3,7.0,2.0,No,Tier 3,4.0,Severe Delay,Normal Order,4176.65,Standard Order
ORD1001,CUST279,Home,CREDIT CARD,470.85,0,2,7.0,5.0,No,Tier 2,5.0,Severe Delay,Normal Order,470.85,Standard Order
ORD1002,CUST192,Beauty,UPI,941.13,15,6,7.0,4.0,No,Tier 2,1.0,Unknown Status,Normal Order,799.96,Standard Order
ORD1003,CUST114,Fashion,DEBIT CARD,2163.22,50,3,7.0,5.0,No,Tier 2,4.0,Severe Delay,Normal Order,1081.61,Loyal & Satisfied
ORD1004,CUST206,Electronics,UPI,3408.9,15,5,7.0,4.0,No,Tier 1,2.0,Unknown Status,Normal Order,2897.56,Loyal & Satisfied
ORD1005,CUST171,Home,DEBIT CARD,1867.29,5,7,7.0,5.0,No,Tier 3,0.0,On-Time,Normal Order,1773.93,Loyal & Satisfied
ORD1006,CUST288,Home,UPI,647.96,20,4,7.0,5.0,No,Tier 1,3.0,Severe Delay,Normal Order,518.37,Standard Order
ORD1008,CUST202,Beauty,UPI,728.02,0,3,7.0,4.0,No,Tier 2,4.0,Severe Delay,Normal Order,728.02,Standard Order
ORD1009,CUST221, Electronics ,UPI,2101.06,15,4,7.0,5.0,No,Tier 2,3.0,Severe Delay,Normal Order,1785.9,Loyal & Satisfied
ORD1011,CUST314,Electronics,COD,2116.93,5,2,7.0,1.0,No,Tier 2,5.0,Severe Delay,Normal Order,2011.08,Standard Order
ORD1012,CUST174,Home,UPI,3180.35,5,5,7.0,5.0,No,Tier 2,2.0,Unknown Status,Normal Order,3021.33,Loyal & Satisfied
ORD1013,CUST302,Electronics,CREDIT CARD,203.16,20,5,7.0,5.0,Yes,Tier 1,2.0,Unknown Status,Normal Order,162.53,Standard Order
ORD1014,CUST187,Beauty,CREDIT CARD,2096.5,20,2,7.0,3.0,No,Tier 2,5.0,Severe Delay,Normal Order,1677.2,Standard Order
ORD1015,CUST216,Books,CREDIT CARD,2854.3,30,2,7.0,4.0,Yes,Tier 2,5.0,Severe Delay,Normal Order,1998.01,High Risk Transaction
ORD1016,CUST199,Electronics,DEBIT CARD,262.11,50,4,7.0,3.0,Yes,Tier 3,3.0,Severe Delay,Normal Order,131.06,High Risk Transaction
ORD1017,CUST203,Beauty,UPI,3278.88,5,6,7.0,5.0,No,Tier 2,1.0,Unknown Status,Normal Order,3114.94,Loyal & Satisfied
ORD1019,CUST230,Home,UPI,1841.75,0,7,7.0,4.0,Yes,Tier 1,0.0,On-Time,Normal Order,1841.75,Standard Order
ORD1020,CUST249,Beauty,CREDIT CARD,2616.82,10,4,7.0,5.0,No,Tier 2,3.0,Severe Delay,Normal Order,2355.14,Loyal & Satisfied
ORD1021,CUST152,Beauty,UPI,1830.02,20,7,7.0,4.0,Yes,Tier 1,0.0,On-Time,Normal Order,1464.02,Standard Order
ORD1022,CUST101,Beauty,CREDIT CARD,345.24,10,2,7.0,5.0,No,Tier 1,5.0,Severe Delay,Normal Order,310.72,Standard Order
ORD1023,CUST187,Beauty,UPI,1560.7,15,5,7.0,4.0,No,Tier 3,2.0,Unknown Status,Normal Order,1326.6,Loyal & Satisfied
ORD1024,CUST335,Fashion,CREDIT CARD,1396.37,20,7,7.0,3.0,No,Tier 2,0.0,On-Time,Normal Order,1117.1,Standard Order
ORD1025,CUST257,Fashion,COD,3658.7,10,4,7.0,4.0,No,Tier 2,3.0,Severe Delay,Normal Order,3292.83,Loyal & Satisfied
ORD1026,CUST137,Home,CREDIT CARD,976.88,50,6,7.0,3.0,No,Tier 1,1.0,Unknown Status,Normal Order,488.44,Standard Order
