Order_ID,Customer_ID,Category,Payment_Method,Order_Value,Discount_Percent,Est_Delivery_Days,Actual_Delivery_Days,Customer_Rating,Returned,City_Tier
ORD1000,CUST202,Electronics,Credit Card,4176.65,0,3,3.0,2.0,No,Tier 3
ORD1001,CUST279,Home,Credit Card,470.85,0,2,5.0,5.0,No,Tier 2
ORD1002,CUST192,Beauty,UPI,941.13,15,6,13.0,,No,Tier 2
ORD1003,CUST114,Fashion,Debit Card,2163.22,50,3,10.0,5.0,No,Tier 2
ORD1004,CUST206,Electronics,UPI,3408.9,15,5,13.0,4.0,No,Tier 1
ORD1005,CUST171,Home,Debit Card,1867.29,5,7,4.0,5.0,No,Tier 3
ORD1006,CUST288,Home,UPI,647.96,20,4,8.0,5.0,No,Tier 1
ORD1007,CUST120,Electronics,Debit Card,1884.09,50,4,13.0,1.0,Yes,
ORD1008,CUST202,Beauty,UPI,728.02,0,3,12.0,4.0,No,Tier 2
ORD1009,CUST221, Electronics ,UPI,2101.06,15,4,5.0,5.0,No,Tier 2
ORD1010,CUST310, Fashion ,,4819.75,0,4,,4.0,No,Tier 2
ORD1011,CUST314,Electronics,COD,2116.93,5,2,12.0,1.0,No,Tier 2
ORD1012,CUST174,Home,UPI,3180.35,5,5,8.0,5.0,No,Tier 2
ORD1013,CUST302,Electronics,Credit Card,203.16,20,5,9.0,5.0,Yes,Tier 1
ORD1014,CUST187,Beauty,Credit Card,2096.5,20,2,4.0,3.0,No,Tier 2
ORD1015,CUST216,Books,Credit Card,2854.3,30,2,7.0,4.0,Yes,Tier 2
ORD1016,CUST199,Electronics,Debit Card,262.11,50,4,2.0,3.0,Yes,Tier 3
ORD1017,CUST203,Beauty,UPI,3278.88,5,6,6.0,5.0,No,Tier 2
ORD1018,CUST251,Beauty,,644.97,15,7,8.0,3.0,No,Tier 1
ORD1019,CUST230,Home,UPI,1841.75,0,7,12.0,4.0,Yes,Tier 1
ORD1020,CUST249,Beauty,Credit Card,2616.82,10,4,7.0,5.0,No,Tier 2
ORD1021,CUST152,Beauty,UPI,1830.02,20,7,7.0,4.0,Yes,Tier 1
ORD1022,CUST101,Beauty,Credit Card,345.24,10,2,8.0,5.0,No,Tier 1
ORD1023,CUST187,Beauty,UPI,1560.7,15,5,7.0,4.0,No,Tier 3
ORD1024,CUST335,Fashion,Credit Card,1396.37,20,7,5.0,3.0,No,Tier 2
ORD1025,CUST257,Fashion,COD,3658.7,10,4,7.0,4.0,No,Tier 2
ORD1026,CUST137,Home,Credit Card,976.88,50,6,13.0,3.0,No,Tier 1
ORD1027,CUST229,Electronics,upi,780.88,15,4,14.0,4.0,No,Tier 2
ORD1028,CUST291,Beauty,UPI,2278.55,0,3,10.0,3.0,No,Tier 1
ORD1029,CUST287,Electronics,COD,998.27,50,4,,5.0,No,Tier 2
ORD1030,CUST120,Electronics,Debit Card,1758.1,15,2,5.0,,No,Tier 1
ORD1031,CUST260,Home,Debit Card,1759.6,30,5,7.0,,Yes,Tier 3
ORD1032,CUST303, Beauty ,COD,3484.41,20,5,9.0,4.0,No,Tier 2
ORD1033,CUST157,Beauty,UPI,1569.54,5,7,2.0,3.0,No,Tier 1
ORD1034,CUST121,Books,UPI,1246.2,0,2,4.0,4.0,Yes,Tier 2
ORD1035,CUST335,Electronics,UPI,424.27,50,3,12.0,5.0,No,Tier 2
ORD1036,CUST188,Electronics,UPI,384.5,50,2,7.0,3.0,No,Tier 1
ORD1037,CUST148,Fashion,Credit Card,451.42,10,4,1.0,,No,Tier 2
ORD1038,CUST318,Books,UPI,482.84,20,2,13.0,4.0,No,Tier 1
ORD1039,CUST158,Fashion,Debit Card,1723.66,5,2,2.0,,No,Tier 3
ORD1040,CUST269,Fashion,UPI,2226.28,15,3,9.0,5.0,No,Tier 3
ORD1041,CUST319,Fashion,COD,1332.51,5,4,13.0,5.0,No,Tier 1
ORD1042,CUST287,Home,Debit Card,2849.29,20,6,,4.0,No,Tier 3
ORD1043,CUST307,Home,upi,7310.32,20,6,7.0,1.0,Yes,Tier 1
ORD1044,CUST114,Fashion,Credit Card,2772.3,30,5,12.0,4.0,No,Tier 1
ORD1045,CUST289,Books,UPI,1980.59,30,7,10.0,4.0,Yes,Tier 3
ORD1046,CUST289,Electronics,UPI,1340.51,5,2,7.0,1.0,No,Tier 2
ORD1047,CUST274,,UPI,1093.63,15,5,6.0,4.0,No,Tier 2
ORD1048,CUST289,Beauty,COD,332.25,5,3,3.0,4.0,No,Tier 1
ORD1049,CUST150,,Credit Card,964.66,20,6,10.0,4.0,No,Tier 1
ORD1050,CUST207,Electronics,COD,3814.16,20,2,3.0,4.0,No,Tier 3
ORD1051,CUST154,Electronics,UPI,2675.57,10,3,2.0,2.0,No,Tier 1
ORD1052,CUST343,Beauty,Debit Card,565.12,30,7,11.0,,Yes,Tier 1
ORD1053,CUST163,Beauty,Debit Card,1142.75,10,3,6.0,3.0,No,Tier 2
ORD1054,CUST348,Fashion,UPI,2745.14,0,2,4.0,4.0,No,Tier 2
ORD1055,CUST230,Home,UPI,304.64,20,7,5.0,4.0,Yes,Tier 2
ORD1056,CUST328,Home,UPI,935.05,10,3,3.0,5.0,No,Tier 1
ORD1057,CUST150, Books ,Credit Card,3064.21,5,7,6.0,2.0,Yes,Tier 1
ORD1058,CUST234,Fashion,UPI,976.01,30,2,,4.0,No,Tier 1
ORD1059,CUST120, Fashion ,Credit Card,321.19,30,2,12.0,4.0,Yes,Tier 3
ORD1060,CUST172,Fashion,UPI,1373.08,15,7,3.0,3.0,Yes,Tier 1
ORD1061,CUST266,Fashion,UPI,3167.96,5,4,14.0,4.0,No,Tier 2
ORD1062,CUST117,Home,UPI,1538.44,15,5,14.0,,No,Tier 2
ORD1063,CUST231,Home,Debit Card,584.82,10,3,8.0,,Yes,Tier 3
ORD1064,CUST188,Fashion,Credit Card,927.35,50,3,9.0,1.0,No,Tier 3
ORD1065,CUST159,Books,Debit Card,1097.09,0,4,4.0,3.0,Yes,Tier 1
ORD1066,CUST113,Electronics,UPI,1498.63,5,4,9.0,4.0,No,
ORD1067,CUST341,Electronics,UPI,2336.62,5,4,12.0,4.0,Yes,Tier 2
ORD1068,CUST349,Books,COD,356.16,5,6,7.0,3.0,No,Tier 1
ORD1069,CUST108,Fashion,Credit Card,3506.17,15,6,3.0,3.0,No,Tier 2
ORD1070,CUST189,Home,UPI,218.58,10,7,7.0,,Yes,Tier 2
ORD1071,CUST152,Electronics,UPI,893.18,5,6,14.0,,No,Tier 3
ORD1072,CUST229,Beauty,UPI,241.7,50,2,,1.0,No,Tier 1
ORD1073,CUST183,,Credit Card,948.78,5,7,3.0,4.0,No,Tier 3
ORD1074,CUST191,Books,Credit Card,1319.23,30,3,6.0,4.0,No,Tier 1
ORD1075,CUST210,Fashion,COD,1275.18,0,5,4.0,3.0,No,Tier 2
ORD1076,CUST287,Electronics,UPI,471.61,30,2,7.0,4.0,No,Tier 1
ORD1077,CUST298,Fashion,UPI,1756.59,30,3,14.0,4.0,No,Tier 2
ORD1078,CUST271,Electronics,UPI,268.72,0,3,3.0,5.0,No,Tier 1
ORD1079,CUST107,Books,Debit Card,2352.64,50,7,1.0,5.0,No,Tier 3
ORD1080,CUST274,Books,,4596.17,10,4,9.0,4.0,No,Tier 3
ORD1081,CUST134,Beauty,UPI,822.75,30,4,6.0,5.0,No,Tier 3
ORD1082,CUST305,Fashion,UPI,1292.35,10,2,8.0,3.0,No,Tier 1
ORD1083,CUST180,Beauty,upi,914.42,30,4,3.0,4.0,No,Tier 3
ORD1084,CUST263,Fashion,Credit Card,210.1,20,3,8.0,4.0,Yes,Tier 2
ORD1085,CUST149,Beauty,UPI,931.33,0,4,2.0,3.0,No,Tier 1
ORD1086,CUST203,Home,UPI,2553.31,30,6,12.0,3.0,No,Tier 1
ORD1087,CUST231,Home,Debit Card,1559.47,20,4,4.0,3.0,No,
ORD1088,CUST101, Home ,UPI,360.14,15,3,3.0,,Yes,Tier 1
ORD1089,CUST233,Home,UPI,3017.34,20,7,10.0,3.0,No,Tier 2
ORD1090,CUST153,Electronics,COD,1336.0,5,2,1.0,3.0,No,Tier 3
ORD1091,CUST205,Home,Debit Card,2965.12,30,5,13.0,4.0,No,Tier 1
ORD1092,CUST103, Books ,UPI,1502.04,20,4,13.0,5.0,No,Tier 2
ORD1093,CUST153,Books,COD,1430.41,10,3,7.0,2.0,No,Tier 3
ORD1094,CUST320,Electronics,UPI,366.83,15,5,11.0,,Yes,Tier 1
ORD1095,CUST290,Home,UPI,474.73,50,5,10.0,5.0,Yes,Tier 3
ORD1096,CUST245,Home,Credit Card,5564.68,30,6,2.0,4.0,No,Tier 2
ORD1097,CUST317,Home,upi,589.1,5,5,4.0,5.0,Yes,Tier 2
ORD1098,CUST143,Beauty,Credit Card,5888.17,50,7,,1.0,No,
ORD1099,CUST261, Fashion ,Credit Card,1338.65,20,3,6.0,4.0,No,Tier 2
ORD1100,CUST301, Beauty ,Credit Card,418.91,50,3,,5.0,No,Tier 1
ORD1101,CUST289,Fashion,Debit Card,356.88,50,4,2.0,2.0,Yes,Tier 2
ORD1102,CUST327, Home ,Credit Card,551.43,15,4,7.0,3.0,No,Tier 1
ORD1103,CUST113,Home,Credit Card,4098.2,50,4,6.0,4.0,No,Tier 3
ORD1104,CUST194,Beauty,Credit Card,1002.04,50,7,13.0,3.0,No,Tier 1
ORD1105,CUST147,Beauty,Credit Card,954.87,30,5,14.0,,Yes,Tier 1
ORD1106,CUST114,Fashion,UPI,763.58,15,5,9.0,3.0,No,Tier 2
ORD1107,CUST299,Books,Debit Card,438.6,5,6,7.0,5.0,No,
ORD1108,CUST305,Fashion,UPI,1203.71,20,7,1.0,4.0,No,Tier 2
ORD1109,CUST314,Beauty,UPI,408.98,15,4,14.0,5.0,No,Tier 3
ORD1110,CUST348, Beauty ,Debit Card,2907.09,15,2,8.0,4.0,No,Tier 2
ORD1111,CUST289,Electronics,Credit Card,894.0,0,6,11.0,4.0,No,Tier 1
ORD1112,CUST139,Beauty,UPI,904.53,15,2,10.0,5.0,No,Tier 2
ORD1113,CUST312,Electronics,upi,1163.7,0,5,3.0,4.0,No,Tier 2
ORD1114,CUST307,Books,UPI,1080.83,20,6,14.0,4.0,No,Tier 3
ORD1115,CUST336, Fashion ,Credit Card,8105.46,50,6,2.0,4.0,Yes,Tier 1
ORD1116,CUST181, Fashion ,UPI,1382.44,30,3,12.0,5.0,No,Tier 2
ORD1117,CUST210,Electronics,UPI,338.5,30,5,3.0,4.0,Yes,
ORD1118,CUST152,Fashion,UPI,1600.45,20,5,11.0,,Yes,Tier 1
ORD1119,CUST123,Beauty,Credit Card,446.58,20,7,6.0,3.0,No,Tier 1
ORD1120,CUST253,Home,Credit Card,247.14,10,6,13.0,4.0,No,Tier 1
ORD1121,CUST316,Electronics,Credit Card,5497.41,50,5,14.0,5.0,No,Tier 3
ORD1122,CUST287,Fashion,upi,2427.77,20,6,3.0,5.0,No,Tier 3
ORD1123,CUST223,Electronics,Debit Card,6076.23,15,7,10.0,5.0,Yes,Tier 2
ORD1124,CUST336,Electronics,Credit Card,1174.78,30,7,5.0,,No,Tier 1
ORD1125,CUST140,Home,Credit Card,1339.76,5,3,6.0,4.0,Yes,Tier 1
ORD1126,CUST256,Beauty,Debit Card,476.49,30,6,8.0,2.0,No,Tier 3
ORD1127,CUST114,Electronics,Credit Card,625.35,0,5,7.0,1.0,No,Tier 3
ORD1128,CUST144,Fashion,Credit Card,2935.33,30,5,,5.0,No,Tier 3
ORD1129,CUST164,Books,upi,860.52,10,6,11.0,5.0,No,Tier 2
ORD1130,CUST188,Electronics,Credit Card,2830.09,50,6,8.0,3.0,No,Tier 1
ORD1131,CUST170,Electronics,,2051.72,20,6,3.0,3.0,No,Tier 3
ORD1132,CUST108, Home ,upi,492.51,50,4,4.0,2.0,No,Tier 1
ORD1133,CUST187,Beauty,UPI,1262.23,20,5,6.0,5.0,No,Tier 1
ORD1134,CUST228,Books,Credit Card,1896.95,30,7,11.0,4.0,No,Tier 2
ORD1135,CUST335,Fashion,Credit Card,601.89,5,5,7.0,4.0,Yes,Tier 1
ORD1136,CUST235,Books,COD,2864.02,5,4,9.0,4.0,No,Tier 1
ORD1137,CUST315,Fashion,COD,1380.62,10,6,13.0,5.0,No,Tier 1
ORD1138,CUST162, Beauty ,COD,470.92,0,3,1.0,5.0,No,Tier 1
ORD1139,CUST238,Fashion,Credit Card,1511.95,30,6,13.0,4.0,No,Tier 3
